,id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,timestamp
5,5426,Solana,SOL,solana,969,2020-04-10T00:00:00.000Z,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okx-ventures-portfolio', 'layer-1', 'ftx-bankruptcy-estate', 'alleged-sec-securities', 'cmc-crypto-awards-2024', 'made-in-america', 'us-strategic-crypto-reserve', 'binance-ecosystem', 'binance-listing']",,539946355.49082,607616461.602755,True,,6,525236893.3,102230747250.8057,,2025-08-17T15:32:00.000Z,194.63740752958583,3563562626.5786138,-37.4639,0.61697417,2.81258364,7.09214563,10.38001135,33.62277235,18.91143449,105093758837.78137,2.6135,118264892858.66,,2025-08-17T15:32:00.000Z,,,,,,2025-08-17 17:33:40.775834
6,3408,USDC,USDC,usd-coin,30566,2018-10-08T00:00:00.000Z,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'coinbase-ventures-portfolio', 'usd-stablecoin', 'ethereum-pow-ecosystem', 'fiat-stablecoin', 'tron20-ecosystem', 'made-in-america', 'world-liberty-financial-portfolio', 'sonic-ecosystem', 'binance-ecosystem', 'binance-listing', 'etherlink-ecosystem', 'unichain-ecosystem', 'vector-smart-chain-ecosystem']",,68161162902.12006,68161162902.12006,False,,7,60901219650.23,60896981959.01796,,2025-08-17T15:33:00.000Z,0.999930416972987,8377724254.463738,-41.1432,0.00615295,0.0041702,0.00357733,0.01287601,-0.00320135,0.00345922,68156420042.08061,1.695,68156420042.08,,2025-08-17T15:33:00.000Z,1027.0,Ethereum,ETH,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2025-08-17 17:33:40.775834
7,74,Dogecoin,DOGE,dogecoin,1270,2013-12-15T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'doggone-doggerel', 'osmosis-ecosystem', 'ftx-bankruptcy-estate', 'animal-memes', 'made-in-america', 'binance-ecosystem', 'binance-listing']",,150556616383.70523,150556616383.70523,True,,8,,,,2025-08-17T15:33:00.000Z,0.23735708605698433,1699730306.0025387,-36.0175,1.46356755,3.39576333,1.59513833,-0.67835343,41.37688741,7.20261752,35735679751.4355,0.8887,35735679751.44,,2025-08-17T15:33:00.000Z,,,,,,2025-08-17 17:33:40.775834
8,2010,Cardano,ADA,cardano,1562,2017-10-01T00:00:00.000Z,"['dpos', 'pos', 'platform', 'research', 'smart-contracts', 'staking', 'cardano-ecosystem', 'cardano', 'layer-1', 'alleged-sec-securities', '2017-2018-alt-season', 'made-in-america', 'us-strategic-crypto-reserve', 'binance-ecosystem', 'binance-listing']",45000000000.0,35609095291.32136,44993664451.7522,False,,9,37997904336.0,36874126623.7886,,2025-08-17T15:33:00.000Z,0.9704252712919561,2063896269.9334102,-30.9351,-0.37086073,6.24833891,20.83159385,18.06177304,63.13650323,32.06794197,34555965958.54165,0.8594,43669137208.14,,2025-08-17T15:33:00.000Z,,,,,,2025-08-17 17:33:40.775834
9,1958,TRON,TRX,tron,1215,2017-09-13T00:00:00.000Z,"['media', 'payments', 'tron-ecosystem', 'layer-1', 'dwf-labs-portfolio', 'alleged-sec-securities', '2017-2018-alt-season', 'tron20-ecosystem', 'world-liberty-financial-portfolio', 'binance-ecosystem', 'binance-listing']",,94681974696.2474,94681979125.40587,True,,10,71659659264.0,25240826845.41267,,2025-08-17T15:33:00.000Z,0.35223202433078027,791754222.9470011,-37.0518,-0.00311229,1.71067926,3.42825196,8.39862765,30.45171153,32.96227695,33350023614.89494,0.8294,33350025174.99,,2025-08-17T15:33:00.000Z,,,,,,2025-08-17 17:33:40.775834
10,1975,Chainlink,LINK,chainlink,2063,2017-09-20T00:00:00.000Z,"['platform', 'defi', 'oracles', 'smart-contracts', 'ethereum-ecosystem', 'polkadot', 'heco-ecosystem', 'avalanche-ecosystem', 'solana-ecosystem', 'framework-ventures-portfolio', 'polygon-ecosystem', 'fantom-ecosystem', 'cardano-ecosystem', 'terra-ecosystem', 'web3', 'near-protocol-ecosystem', 'arbitrum-ecosystem', 'cross-chain', 'cardano', 'injective-ecosystem', 'bnb-chain-ecosystem', 'optimism-ecosystem', 'real-world-assets-protocols', 'gnosis-chain-ecosystem', 'sora-ecosystem', 'hoo-smart-chain-ecosystem', 'milkomeda-ecosystem', 'energi-ecosystem', 'made-in-america', 'world-liberty-financial-portfolio', 'binance-ecosystem', 'binance-listing', 'robotics']",,678099970.4527867,1000000000.0,False,,11,,,,2025-08-17T15:33:00.000Z,25.707134137151353,1920165375.9948847,108.9606,2.81235043,16.37966249,15.02551187,43.49021767,99.23280404,66.67180777,17432006898.828156,0.4335,25707134137.15,,2025-08-17T15:33:00.000Z,1027.0,Ethereum,ETH,ethereum,0x514910771af9ca656af840dff83e8264ecf986ca,2025-08-17 17:33:40.775834
11,32196,Hyperliquid,HYPE,hyperliquid,132,2024-07-15T10:14:50.000Z,"['decentralized-exchange-dex-token', 'defi', 'derivatives', 'layer-1', 'hyperliquid-ecosystem', 'binance-ecosystem', 'binance-listing', 'hyperevm-ecosystem']",1000000000.0,333928180.0,999993930.0,False,,12,333931719.0,15722583657.411762,,2025-08-17T15:33:00.000Z,47.083229183783416,220842235.65312576,-26.0954,0.39902596,0.46425909,5.18267127,5.77054927,19.70550619,81.73304588,15722417029.863682,0.391,47083229183.78,,2025-08-17T15:33:00.000Z,32196.0,Hyperliquid,HYPE,hyperliquid,0x0d01dc56dcaaca66ad901c959b4011ec,2025-08-17 17:33:40.775834
12,20947,Sui,SUI,sui,741,2022-07-12T08:03:11.000Z,"['binance-launchpool', 'coinbase-ventures-portfolio', 'binance-labs-portfolio', 'electric-capital-portfolio', 'a16z-portfolio', 'sui-ecosystem', 'layer-1', 'move-vm', 'cmc-crypto-yearbook-2024-2025', 'made-in-america', 'world-liberty-financial-portfolio', 'binance-ecosystem', 'binance-listing']",10000000000.0,3511924479.5699987,10000000000.0,False,,13,3511924479.57,13534086183.956787,,2025-08-17T15:33:00.000Z,3.853752056084617,641792722.4972123,-33.5097,0.12127812,2.31088215,0.03971868,0.07559357,38.4877604,2.34663376,13534086183.956781,0.3366,38537520560.85,,2025-08-17T15:33:00.000Z,,,,,,2025-08-17 17:33:40.775834
13,512,Stellar,XLM,stellar,740,2014-08-05T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'decentralized-exchange-dex-token', 'defi', 'smart-contracts', 'hashkey-capital-portfolio', 'real-world-assets-protocols', '2017-2018-alt-season', 'made-in-america', 'binance-ecosystem', 'binance-listing']",50001806812.0,31302841639.231438,50001786889.0645,False,,14,31531408660.0,13547057347.214191,,2025-08-17T15:33:00.000Z,0.42963692149915483,191185673.19663644,-42.2115,-0.21330575,0.7952994,-3.00908646,-7.95349788,72.14929329,51.81041299,13448856516.054953,0.3345,21482622348.1,,2025-08-17T15:33:00.000Z,,,,,,2025-08-17 17:33:40.775834
14,1831,Bitcoin Cash,BCH,bitcoin-cash,1047,2017-07-23T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'marketplace', 'medium-of-exchange', 'store-of-value', 'enterprise-solutions', 'payments', 'layer-1', '2017-2018-alt-season', 'made-in-america', 'binance-ecosystem', 'binance-listing']",21000000.0,19912668.75,19912668.75,False,,15,,,,2025-08-17T15:33:00.000Z,584.4064484162575,290963883.8306039,-0.1636,-0.81059455,-0.20735019,1.61337588,13.97825171,25.74032218,51.65998187,11637092022.676897,0.2894,12272535416.74,,2025-08-17T15:33:00.000Z,,,,,,2025-08-17 17:33:40.775834
